TreeNo,knn_gene_predictions,gene_cluster,gene_coordinates,gene_centroids,bkm_distance,knn_distance
SH-QS6,[-14.67097174  -5.25618885  10.2383143 ],1,"[-12.56181478, -4.715214822, 8.92209869]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",3.9422623468481586,2.544330855275193
SH-QS8,[-12.96388738  -3.84743494   6.5647967 ],1,"[-11.78550491, -3.733215497, 6.319262015]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",1.1980671046927531,1.209098260415361
T-QR15,[ 5.97894508 -2.83499091  4.50125264],2,"[19.45343799, -1.985081988, 0.664951116]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",3.0719907399263158,14.03572276897154
T-QR16,[ 5.97894508 -2.83499091  4.50125264],2,"[18.93312685, -1.268883874, 0.473618817]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",2.688268430830513,13.65596392425274
T-QR23,[ 5.97894508 -2.83499091  4.50125264],2,"[18.73911366, -1.750993594, 1.218620985]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",2.2769428495822837,13.220159714070917
T-QR5,[ 5.97894508 -2.83499091  4.50125264],2,"[18.27075694, -2.08461635, 0.958686091]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",1.8657205569680453,12.814112472240058
T-QR6,[-4.19327819 -4.12116427  7.26796852],2,"[9.834992166, -1.037564548, 2.296427925]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",6.74599640691195,15.199249071191797
T-QR8,[-12.17800741  -4.47976563   7.72190271],1,"[18.66302739, -1.834766809, 1.333894691]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",29.936894568776875,31.606519781225654
QA-K3,[-10.15258595  -1.8827399   -1.59065477],0,"[-10.98878604, -2.362335408, -1.949956317]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",8.497505348992641,1.0287565496955864
QR-K8,[ 6.44500605 -2.21316378  2.65295317],2,"[22.53518124, -1.906877387, -2.259863628]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",7.075833219648332,16.82626868209941
QS-K1,[-3.51760809 -2.38734869  2.55020365],2,"[-11.65258674, -2.754838751, -1.05788559]","[16.470120757953126, -1.844546040984375, 1.384113856109375]",28.243205751616355,8.906808324455547
QS-K10,[-14.67097174  -5.25618885  10.2383143 ],1,"[-12.00711884, -2.634677641, 0.320198437]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",5.380861824025978,10.598936529858683
QS-K2,[-3.51760809 -2.38734869  2.55020365],1,"[-10.82757696, -2.478550762, -0.488903754]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",6.096065350776005,7.917078785597229
QS-K3,[-10.15258595  -1.8827399   -1.59065477],0,"[-3.12037425, -0.741657104, -1.072267009]","[-6.734983830851852, -0.017621014611111093, -8.922407703351851]",8.672620111698802,7.1430243769647275
QS-K6,[-1.70031386 -3.34474105  4.75155694],1,"[-10.53611606, -2.040302168, -2.127410075]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",7.798630990562918,11.273559705323791
QS-K7,[-3.75794308 -3.12006366  4.11851315],1,"[-5.984694517, -0.758557842, -1.229197331]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",8.836701163775619,6.2556485750076485
QS-K8,[-4.49874846 -3.97001549  7.47159842],1,"[-9.12081072, -1.974119506, 0.663090677]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",5.4268623191044085,8.467752827112111
QS-K9,[-12.13201695  -3.84285372   6.23061707],1,"[-7.63567427, -2.050761891, 1.07906096]","[-10.926670495606558, -3.6879836337213114, 5.485162312]",5.7380205921460625,7.068749602451894
